geno,PI,order
MB-TNT+,-0.72,f
MB-TNT+,-0.41,f
MB-TNT+,-0.52,f
MB-TNT+,-0.57,f
MB-TNT+,-0.47,f
MB-TNT+,-1,f
MB-TNT+,-0.59,f
MB-TNT+,0.51,f
MB-TNT+,1,f
MB-TNT+,0.37,f
MB-TNT+,-0.76,f
MB-TNT+,0.41,f
MB-TNT+,-0.42,f
MB-TNT+,0.48,f
MB-TNT+,-1,f
MB-TNT+,-0.96,f
MB-TNT+,-0.35,f
MB-TNT+,-0.27,f
MB-TNT+,-1,f
 85E04/TNT+,-0.35,a
 85E04/TNT+,-0.38,a
 85E04/TNT+,-0.96,a
 85E04/TNT+,0.26,a
 85E04/TNT+,0.24,a
 85E04/TNT+,0.43,a
 85E04/TNT+,1,a
 85E04/TNT+,-0.32,a
 85E04/TNT+,0.28,a
 85E04/TNT+,0.55,a
 85E04/TNT+,-0.72,a
 85E04/TNT+,0.94,a
 85E04/TNT+,-0.82,a
 85E04/TNT+,0.86,a
 85E04/TNT+,-1,a
 85E04/TNT+,0.05,a
 85E04/TNT+,-1,a
 85E04/TNT+,-0.84,a
 85E04/TNT+,0.39,a
 85E04/TNT+,0.7,a
 85E04/TNT+,0.5,a
 85E04/TNT+,-0.98,a
 85E04/TNT+,0.86,a
 85E04/TNT+,0.99,a
 85E04/TNT+,0.41,a
 85E04/TNT+,-0.45,a
 85E04/TNT+,0.03,a
 85E04/TNT+,-0.38,a
 85E04/TNT+,-0.21,a
 85E04/TNT+,1,a
 85E04/TNT+,-0.43,a
 85E04/TNT+,0.24,a
 85E04/TNT+,0.79,a
 85E04/TNT+,0.18,a
 85E04/TNT+,0.36,a
 85E04/TNT+,0.36,a
 85E04/TNT+,0.91,a
 85E04/TNT+,0.95,a
85E04/TNT-,-0.66,b
85E04/TNT-,-0.91,b
85E04/TNT-,-0.83,b
85E04/TNT-,0.11,b
85E04/TNT-,-0.86,b
85E04/TNT-,0.6,b
85E04/TNT-,-0.4,b
85E04/TNT-,0.03,b
85E04/TNT-,-0.55,b
85E04/TNT-,0.5,b
85E04/TNT-,-0.18,b
85E04/TNT-,-1,b
85E04/TNT-,0.03,b
85E04/TNT-,-0.87,b
85E04/TNT-,0.34,b
85E04/TNT-,-0.82,b
85E04/TNT-,0.21,b
85E04/TNT-,-0.46,b
85E04/TNT-,-0.65,b
85E04/TNT-,-0.15,b
85E04/TNT-,-0.08,b
85E04/TNT-,-0.61,b
85E04/TNT-,-0.97,b
85E04/TNT-,-1,b
85E04/TNT-,0.18,b
85E04/TNT-,-0.19,b
85E04/TNT-,0.43,b
85E04/TNT-,-0.53,b
85E04/TNT-,-0.91,b
85E04/TNT-,-0.77,b
85E04/TNT-,-0.95,b
85E04/TNT-,0.12,b
85E04/TNT-,-0.58,b
85E04/TNT-,-0.65,b
85E04/TNT-,0.36,b
85E04/TNT-,-0.34,b
85E04/TNT-,-0.7,b
85E04/TNT-,-0.68,b
85E04/+,-0.69,c
85E04/+,-0.5,c
85E04/+,-0.5,c
85E04/+,0.89,c
85E04/+,-1,c
85E04/+,-0.18,c
85E04/+,-0.21,c
85E04/+,-0.1,c
85E04/+,-0.04,c
85E04/+,-0.94,c
85E04/+,-0.62,c
85E04/+,0.19,c
85E04/+,-0.22,c
85E04/+,0.43,c
85E04/+,-1,c
85E04/+,0,c
85E04/+,0,c
85E04/+,-0.2,c
85E04/+,0.01,c
85E04/+,-0.77,c
85E04/+,-0.07,c
85E04/+,-1,c
85E04/+,-1,c
85E04/+,-1,c
85E04/+,-0.68,c
85E04/+,0.84,c
85E04/+,-0.15,c
85E04/+,0.09,c
85E04/+,0.13,c
85E04/+,1,c
85E04/+,-0.64,c
85E04/+,0.41,c
85E04/+,-0.79,c
85E04/+,-1,c
85E04/+,-0.76,c
85E04/+,-1,c
85E04/+,-1,c
85E04/+,-0.85,c
TNT+/+,0.13,d
TNT+/+,-0.07,d
TNT+/+,-1,d
TNT+/+,-0.9,d
TNT+/+,0.97,d
TNT+/+,0.89,d
TNT+/+,-1,d
TNT+/+,-0.45,d
TNT+/+,-1,d
TNT+/+,-0.87,d
TNT+/+,0.09,d
TNT+/+,-0.64,d
TNT+/+,1,d
TNT+/+,-0.25,d
TNT+/+,-0.65,d
TNT+/+,0.31,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-0.95,d
TNT+/+,-1,d
TNT+/+,0.47,d
TNT+/+,1,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,0.11,d
TNT+/+,-0.59,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-0.6,d
TNT+/+,-0.61,d
TNT+/+,-0.93,d
TNT+/+,-0.75,d
TNT+/+,-0.69,d
TNT+/+,-1,d
TNT+/+,0.96,d
